PubSubjectUId|SubjectTypeUId|PubUId|Comment
4|1|1|
5|2|1|
6|2|2|
7|1|3|age >45
8|2|4|classified into two groups - 0-4 and 5-14 years
9|1|5|
10|2|5|
11|1|6|
12|2|6|
13|2|7|
15|1|9|>15
16|2|9|<15
17|1|10|
18|2|10|
19|3|11|
20|1|12|
21|1|13|
22|1|14|
23|1|15|
24|1|20|
25|2|21|age < = 18
26|1|22|
27|2|22|
28|1|23|
29|2|23|
30|1|27|
31|2|27|
32|2|28|
33|1|29|
34|2|29|age >14
35|1|30|
36|2|30|
37|2|31|age < 15
38|1|32|
39|2|32|
40|2|33|
41|1|34|
42|2|34|
43|1|35|ages 18-34 years
44|2|35|ages 5-18 years
45|1|36|
46|2|36|
47|1|37|
48|2|37|
49|2|38|age < 10
50|1|39|
51|2|39|
52|1|40|Nonelderly
53|2|40|
54|1|41|
55|2|41|
56|1|42|
57|2|42|
58|3|43|
59|2|44|age < 15
60|2|45|
61|2|46|
62|1|47|age 15-64 years
63|2|47|age < 15 
64|2|48|age 5 - 18 years
65|2|49|age 3 - 10 years
66|1|50|
67|2|50|
68|1|51|
69|2|51|
70|1|52|
71|2|52|
72|1|53|
73|2|53|
74|1|54|
75|2|54|
76|2|55|age 6 - 12 years
77|2|56|age 6 - 12 years
78|1|57|
79|2|57|
80|1|58|
81|1|59|
82|1|60|19-49, and 50+ years
83|2|60|<6, 6-18
84|2|61|age < = 14 years
85|2|62|ages 1-4, 5-9, 10-14 years
86|2|64|age 5-17 years
