StatisticalMethodsUId|MethodName|Comment
1|Simple Linear Regression Analysis|
2|Multivariable conditional logistic regression model|
3|Generalized Linear Models with Poisson Distribution|
4|Bayesian Model Averaging|
5|Standard Multiple Regression|
6|Generalized Additive Poisson Regression Model|
7|Multivariable-adjusted autoregressive integrated moving average model (time series analysis)|
8|Poisson log-linear regression model|
9|Poisson Generalised Additive Model (GAM)|
10|Distributed Lag NonLinear Model|
11|Piecewise Linear Model|
12|Spearman’s rank order correlation|
13|Multiple linear regression analysis|
14|Quasi-poisson regression analysis|
15|Generalized Linear Mixed Model|
16|Poisson Regression|
17|Poisson generalized estimating equations|
18|Logistic regression analysis|
19|Mantel-Haenszel estimator|
20|Time-stratified case-crossover design|
21|Generalised Additive Model (GAM)|
22|Case-crossover|
23|Poisson regression time series method|
24|Air Pollution and Health: A European Approach (APHEA)|
25|Bi-directional case-crossover|
26|Conditional Logistic Regression Model|
27|Autoregressive Poisson Regression|
28|Regression Model|
